CountryName,CountryCode,RegionName,RegionCode,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings
New Zealand,NZL,,,2020-06-01,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
Oman,OMN,,,2020-06-01,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,4.0
Pakistan,PAK,,,2020-06-01,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0
Panama,PAN,,,2020-06-01,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
Pitcairn Islands,PCN,,,2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,
Peru,PER,,,2020-06-01,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0
Philippines,PHL,,,2020-06-01,3.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
Papua New Guinea,PNG,,,2020-06-01,0.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0
Poland,POL,,,2020-06-01,2.0,2.0,1.0,2.0,1.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0
Puerto Rico,PRI,,,2020-06-01,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
